algorithm_name,env_n,size,best_solution,H,states,time
HC,23,8,"[3, 7, 0, 4, 1, 1, 5, 2]",1,59,0.000836
HC,24,8,"[6, 1, 0, 5, 7, 4, 7, 3]",2,60,0.000805
HC,25,8,"[6, 1, 1, 5, 7, 0, 4, 0]",2,57,0.000802
HC,26,8,"[1, 4, 6, 0, 3, 7, 0, 2]",1,57,0.000794
HC,27,8,"[7, 0, 6, 3, 1, 6, 4, 2]",1,59,0.000868
HC,28,8,"[5, 0, 1, 4, 2, 7, 6, 3]",2,59,0.000826
HC,29,8,"[3, 7, 4, 1, 5, 0, 6, 0]",1,59,0.000815
HC,30,8,"[2, 5, 1, 4, 0, 3, 6, 2]",1,59,0.000825
HC,1,10,"[2, 9, 1, 8, 0, 0, 7, 4, 6, 3]",2,93,0.001449
HC,2,10,"[7, 6, 1, 5, 0, 8, 4, 2, 3, 9]",2,92,0.001518
HC,3,10,"[3, 6, 8, 2, 0, 3, 7, 4, 1, 9]",1,94,0.001886
HC,4,10,"[0, 3, 8, 2, 7, 9, 1, 5, 0, 6]",1,94,0.001616
HC,5,10,"[6, 4, 1, 8, 0, 7, 3, 0, 9, 1]",2,92,0.001621
HC,6,10,"[3, 1, 8, 4, 2, 0, 3, 9, 7, 5]",1,91,0.002068
HC,7,10,"[2, 3, 6, 3, 1, 8, 1, 5, 9, 0]",3,92,0.002347
HC,8,10,"[0, 9, 6, 1, 5, 7, 0, 4, 3, 8]",2,94,0.002110
HC,9,10,"[1, 9, 6, 6, 0, 2, 0, 5, 3, 8]",2,94,0.001504
HC,10,10,"[2, 2, 5, 1, 8, 0, 3, 7, 7, 4]",3,94,0.001660
HC,11,10,"[1, 4, 0, 5, 0, 9, 3, 6, 2, 7]",2,96,0.001606
HC,12,10,"[9, 1, 8, 5, 0, 6, 0, 5, 7, 4]",2,92,0.001591
HC,13,10,"[7, 4, 8, 0, 9, 6, 2, 5, 1, 8]",1,94,0.001475
HC,14,10,"[2, 6, 9, 0, 8, 1, 4, 1, 7, 4]",2,94,0.001524
HC,15,10,"[4, 1, 7, 9, 1, 3, 5, 0, 2, 5]",2,93,0.002248
HC,16,10,"[5, 1, 9, 0, 8, 3, 7, 0, 2, 4]",2,94,0.001732
HC,17,10,"[3, 9, 0, 2, 4, 1, 8, 4, 5, 0]",3,94,0.002058
HC,18,10,"[4, 1, 9, 0, 3, 0, 2, 8, 2, 7]",2,96,0.001515
HC,19,10,"[2, 7, 0, 0, 3, 1, 5, 8, 4, 9]",4,94,0.001519
HC,20,10,"[0, 4, 3, 5, 8, 2, 0, 6, 6, 1]",3,92,0.003794
HC,21,10,"[0, 1, 6, 9, 7, 3, 1, 8, 2, 5]",3,95,0.001580
HC,22,10,"[8, 3, 0, 2, 7, 9, 1, 4, 1, 3]",3,93,0.001511
HC,23,10,"[3, 0, 7, 1, 4, 9, 6, 8, 5, 2]",1,94,0.001629
HC,24,10,"[5, 0, 9, 6, 8, 7, 3, 1, 2, 4]",3,95,0.001482
HC,25,10,"[6, 8, 1, 5, 7, 0, 4, 0, 4, 9]",2,92,0.001571
HC,26,10,"[1, 3, 5, 6, 8, 0, 4, 7, 0, 2]",2,94,0.001880
HC,27,10,"[7, 0, 6, 9, 7, 1, 4, 8, 5, 0]",2,93,0.001605
HC,28,10,"[4, 0, 5, 8, 1, 0, 2, 9, 6, 3]",2,95,0.003200
HC,29,10,"[8, 3, 0, 7, 9, 4, 1, 7, 2, 6]",2,94,0.002705
HC,30,10,"[1, 5, 2, 2, 9, 7, 4, 0, 3, 6]",1,93,0.003272
random,1,4,"[2, 0, 3, 1]",0,21,0.000374
random,2,4,"[1, 3, 0, 2]",0,194,0.004774
random,3,4,"[2, 0, 3, 1]",0,27,0.000350
random,4,4,"[1, 3, 0, 2]",0,124,0.001397
random,5,4,"[2, 0, 3, 1]",0,146,0.001774
random,6,4,"[1, 3, 0, 2]",0,414,0.005021
random,7,4,"[1, 3, 0, 2]",0,182,0.002463
random,8,4,"[1, 3, 0, 2]",0,120,0.001456
random,9,4,"[1, 3, 0, 2]",0,155,0.001851
random,10,4,"[1, 3, 0, 2]",0,213,0.002559
random,11,4,"[1, 3, 0, 2]",0,151,0.001858
random,12,4,"[1, 3, 0, 2]",0,99,0.001203
random,13,4,"[2, 0, 3, 1]",0,139,0.001675
random,14,4,"[1, 3, 0, 2]",0,63,0.000755
random,15,4,"[2, 0, 3, 1]",0,178,0.002091
random,16,4,"[1, 3, 0, 2]",0,91,0.001081
random,17,4,"[1, 3, 0, 2]",0,159,0.001915
random,18,4,"[1, 3, 0, 2]",0,607,0.009152
random,19,4,"[1, 3, 0, 2]",0,61,0.000733
random,20,4,"[1, 3, 0, 2]",0,133,0.001546
